season,driver_name,races,wins,podiums,dnfs,total_points,win_rate,podium_rate,dnf_rate,consistency_score
2024,Daniel Ricciardo,18,0,0,2,7.0,0.0,0.0,0.1111111111111111,-0.111
2024,Esteban Ocon,23,0,1,2,23.0,0.0,0.043478260869565216,0.08695652173913043,-0.043
2024,Fernando Alonso,24,0,0,1,70.0,0.0,0.0,0.041666666666666664,-0.042
2024,Franco Colapinto,9,0,0,3,5.0,0.0,0.0,0.3333333333333333,-0.333
2024,George Russell,24,2,4,3,226.0,0.08333333333333333,0.16666666666666666,0.125,0.042
2024,Guanyu Zhou,24,0,0,2,4.0,0.0,0.0,0.08333333333333333,-0.083
2024,Jack Doohan,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2024,Kevin Magnussen,22,0,0,2,14.0,0.0,0.0,0.09090909090909091,-0.091
2024,Lance Stroll,24,0,0,4,24.0,0.0,0.0,0.16666666666666666,-0.167
2024,Lando Norris,24,4,13,0,344.0,0.16666666666666666,0.5416666666666666,0.0,0.542
2024,Lewis Hamilton,24,2,5,2,207.0,0.08333333333333333,0.20833333333333334,0.08333333333333333,0.125
2024,Liam Lawson,6,0,0,1,4.0,0.0,0.0,0.16666666666666666,-0.167
2024,Logan Sargeant,14,0,0,2,0.0,0.0,0.0,0.14285714285714285,-0.143
2024,Max Verstappen,24,9,14,1,399.0,0.375,0.5833333333333334,0.041666666666666664,0.542
2024,Nico Hülkenberg,24,0,0,3,36.0,0.0,0.0,0.125,-0.125
2024,Oliver Bearman,3,0,0,0,7.0,0.0,0.0,0.0,0.0
2024,Oscar Piastri,24,2,8,0,265.0,0.08333333333333333,0.3333333333333333,0.0,0.333
2024,Pierre Gasly,24,0,1,4,40.0,0.0,0.041666666666666664,0.16666666666666666,-0.125
2024,Sergio Pérez,24,0,4,5,138.0,0.0,0.16666666666666666,0.20833333333333334,-0.042
2024,Valtteri Bottas,24,0,0,2,0.0,0.0,0.0,0.08333333333333333,-0.083
2024,Yuki Tsunoda,24,0,0,4,29.0,0.0,0.0,0.16666666666666666,-0.167
