season,round,driver_id,total_stops,avg_stop_duration,fastest_stop
2018,8,hamilton,1,24.31,24.31
2018,8,hulkenberg,1,25.016,25.016
2018,8,kevin_magnussen,1,25.419,25.419
2018,8,leclerc,1,25.026,25.026
2018,8,max_verstappen,1,24.395,24.395
2018,8,raikkonen,1,24.289,24.289
2018,8,ricciardo,1,24.309,24.309
2018,8,sainz,1,25.423,25.423
2018,8,sirotkin,1,26.273,26.273
2018,8,stroll,1,26.576,26.576
2018,8,vandoorne,1,24.399,24.399
2018,8,vettel,2,31.820500000000003,31.029
2018,9,alonso,1,21.588,21.588
2018,9,ericsson,1,21.519,21.519
2018,9,gasly,1,22.011,22.011
2018,9,grosjean,1,22.121,22.121
2018,9,hamilton,2,21.1125,20.98
2018,9,kevin_magnussen,1,22.138,22.138
2018,9,leclerc,1,21.364,21.364
2018,9,max_verstappen,1,21.214,21.214
2018,9,ocon,1,22.527,22.527
2018,9,perez,1,22.863,22.863
2018,9,raikkonen,1,21.552,21.552
2018,9,ricciardo,2,21.6045,21.259
2018,9,sainz,2,24.796,23.257
2018,9,sirotkin,2,23.966,23.048
2018,9,stroll,2,22.240000000000002,22.181
2018,9,vandoorne,2,34.5415,22.526
2018,9,vettel,1,23.912,23.912
2018,10,alonso,2,28.377000000000002,28.085
2018,10,bottas,1,27.894,27.894
2018,10,ericsson,1,28.207,28.207
2018,10,gasly,2,29.220999999999997,28.676
2018,10,grosjean,1,29.254,29.254
2018,10,hamilton,1,28.982,28.982
2018,10,hulkenberg,1,28.719,28.719
2018,10,kevin_magnussen,1,28.45,28.45
2018,10,leclerc,1,27.865,27.865
2018,10,max_verstappen,2,28.458,28.458
2018,10,ocon,1,29.41,29.41
2018,10,perez,2,28.743499999999997,28.651
2018,10,raikkonen,2,33.778999999999996,28.985
2018,10,ricciardo,2,28.0975,28.001
2018,10,sainz,2,28.576,28.078
2018,10,sirotkin,1,28.224,28.224
2018,10,stroll,1,27.774,27.774
2018,10,vandoorne,2,28.471,28.284
2018,10,vettel,2,28.4255,28.174
2018,11,alonso,3,20.334,18.956
2018,11,bottas,2,26.2335,19.188
2018,11,brendon_hartley,2,19.647,19.309
2018,11,ericsson,1,18.84,18.84
2018,11,gasly,2,19.659,19.512
2018,11,grosjean,3,20.896,19.752
2018,11,hamilton,1,18.978,18.978
2018,11,hulkenberg,3,20.382666666666665,19.584
2018,11,kevin_magnussen,3,27.432,19.818
2018,11,leclerc,3,20.37333333333333,19.267
2018,11,max_verstappen,3,19.375333333333334,19.087
2018,11,ocon,1,19.57,19.57
2018,11,perez,1,25.13,25.13
2018,11,raikkonen,2,19.8175,19.647
2018,11,sainz,3,20.108999999999998,19.637
2018,11,sirotkin,2,22.942,21.711
2018,11,stroll,2,19.500999999999998,19.476
2018,11,vandoorne,2,19.6995,19.621
2018,11,vettel,1,18.657,18.657
2018,12,alonso,1,21.795,21.795
